car_ID,CarName,ownername,owneremail,dealershipaddress,saledate,iban,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,color,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,compressionratio,horsepower,peakrpm,citympg,highwaympg,Price
14,peugeot 505s turbo diesel,Patricia Perez,patriciaperez@hotmail.com,"1038 Rick Ramp Apt. 644
West Jennaview, AL 68537",2021-06-20,GB11EZKS1084**********,diesel,turbo,four,wagon,rwd,front,114.2,teal,198.9,68.4,58.7,3485,4.0,152,21.0,95.0,4150,25,25,17075.0
15,nissan dayz,Arthur Terrell,arthur.terrell@gmail.com,"0071 Contreras Crossing
North Laurieport, MI 20051",2015-01-28,GB91NKVM0161**********,gas,std,four,sedan,fwd,front,100.4,aqua,181.7,66.5,55.1,3095,6.0,181,9.0,152.0,5200,17,22,13499.0
16,peugeot 604sl,Bryan Garcia,bryan.garcia@gmail.com,"187 Sharon Knoll Apt. 003
New Kristopherport, GU 60428",2020-07-03,GB26SHFD4125**********,diesel,turbo,four,sedan,rwd,front,107.9,green,186.7,68.4,56.7,3252,4.0,152,21.0,95.0,4150,28,33,16900.0
17,subaru r2,Joseph Hernandez,josephhernandez@hotmail.com,"5518 Brown Square
West Elizabethview, KS 00539",2015-09-09,GB70LEMX1611**********,gas,turbo,four,sedan,4wd,front,97.0,maroon,172.0,65.4,54.3,2510,4.0,108,7.7,111.0,4800,24,29,11259.0
18,bmw x3,Laura Nguyen,lauranguyen@gmail.com,"3420 Michael Spurs Apt. 168
Lake Seth, CT 24134",2019-07-06,GB63UHBQ4860**********,gas,std,four,sedan,rwd,front,101.2,blue,176.8,64.8,54.3,2765,6.0,164,9.0,121.0,4250,21,28,21105.0
19,plymouth fury iii,Amanda Garcia,amanda.garcia@hotmail.com,"Unit 0687 Box 7985
DPO AP 19390",2020-02-18,GB66QOKT4325**********,gas,std,two,hatchback,fwd,front,93.7,maroon,157.3,63.8,50.8,1918,4.0,90,9.4,68.0,5500,37,41,5572.0
20,porsche macan,Bryan Herrera,bryanherrera@hotmail.com,"1889 Kelly Lakes Apt. 788
Lisafurt, TN 39997",2022-03-24,GB52SPCX2820**********,gas,std,two,hatchback,rwd,front,94.5,silver,168.9,68.3,50.2,2778,4.0,151,9.5,143.0,5500,19,27,22018.0
21,plymouth fury iii,Aaron Morse,aaron.morse@hotmail.com,"50942 Martinez Fort
Lake Calebstad, NJ 77009",2022-01-26,GB88NYWC0467**********,gas,std,four,hatchback,fwd,front,93.7,blue,157.3,63.8,50.6,1967,4.0,90,9.4,68.0,5500,31,38,6229.0
22,mazda glc deluxe,Melinda Foster,melindafoster@yahoo.com,"24853 Monica Views
Taylorside, AS 61849",2021-04-14,GB30XCAY9823**********,diesel,std,four,sedan,fwd,front,98.8,maroon,177.8,66.5,55.5,2443,4.0,122,22.7,64.0,4650,36,42,10795.0
23,nissan gt-r,Amanda Coleman,amanda.coleman@gmail.com,"10569 Joseph Loaf
East Barbara, ID 79229",2020-06-03,GB55QXIK2967**********,diesel,std,two,sedan,fwd,front,94.5,green,165.3,63.8,54.5,2017,,103,21.9,55.0,4800,45,50,7103.0
24,mazda rx2 coupe,Michael Baker,michaelbaker@hotmail.com,"18882 Whitney Haven
West Daniellestad, CT 79376",2017-02-08,GB93NFHI5547**********,gas,std,two,hatchback,fwd,front,93.1,lime,159.1,64.2,54.1,1905,4.0,91,9.0,68.0,5000,31,38,6795.0
25,toyota starlet,Michael Chen,michael.chen@hotmail.com,"751 Christina Branch
Lake Tracie, MA 80332",2020-03-24,GB90LIXU5626**********,gas,std,four,sedan,rwd,front,104.5,white,187.8,66.5,54.1,3131,6.0,171,9.2,156.0,5200,20,24,15690.0
26,peugeot 504,Kristy Marshall,kristy.marshall@hotmail.com,"6121 Hannah Mountain Suite 607
Port William, LA 50243",2015-02-14,GB05UOCB6550**********,gas,std,four,wagon,rwd,front,114.2,yellow,,68.4,56.7,3285,4.0,120,8.4,95.0,5000,19,24,16761.0
27,toyota corolla liftback,Lindsey Wilson,lindsey.wilson@yahoo.com,"Unit 4724 Box 3793
DPO AE 57108",2018-01-17,GB59MRYD8715**********,gas,std,two,hatchback,rwd,front,102.9,purple,183.5,67.7,52.0,2976,6.0,171,9.3,161.0,5200,20,24,16558.0
28,buick century special,Theresa Barrera,theresa.barrera@gmail.com,"7241 Bradley Ford Suite 979
Leemouth, PR 50844",2021-10-10,GB68AMCJ2882**********,gas,std,four,sedan,rwd,front,120.9,gray,208.1,71.7,56.7,3900,8.0,308,8.0,184.0,4500,14,16,40960.0
29,toyota corolla,Tami Harrison,tami.harrison@hotmail.com,"505 Dyer Hollow Apt. 508
South Elizabeth, TX 32466",2021-06-07,GB10WGAY6884**********,gas,std,two,hardtop,rwd,front,98.4,aqua,176.2,65.6,52.0,2536,4.0,146,9.3,116.0,4800,24,30,9639.0
30,honda civic (auto),Paul Hanson,paul.hanson@yahoo.com,"64321 Murphy Branch
West Kenneth, NJ 41290",2018-08-04,GB20JWHJ6276**********,gas,std,two,sedan,fwd,front,96.5,olive,169.1,66.0,51.0,2293,4.0,110,9.1,100.0,5500,25,31,10345.0
31,toyota corona mark ii,James Adams,james.adams@gmail.com,"216 Johnson Valleys Apt. 517
Nortonberg, MH 43629",2016-10-23,GB09FSFD8610**********,gas,std,two,hatchback,fwd,front,95.7,green,158.7,63.6,54.5,1985,4.0,92,9.0,62.0,4800,35,39,5348.0
32,toyota corolla tercel,Linda Mckenzie,lindamckenzie@yahoo.com,"0677 Rogers Gateway Suite 556
Lake Leslie, UT 35045",2018-06-16,GB06ZNFA3703**********,gas,std,two,hatchback,rwd,front,94.5,green,168.7,64.0,52.6,2300,4.0,98,9.4,112.0,6600,26,29,9538.0
33,toyota corona,Nicole Cole,nicole.cole@hotmail.com,"50114 Valerie Court Suite 180
West Josephland, MA 74482",2020-01-03,GB44EKWE6601**********,gas,std,two,hatchback,fwd,front,95.7,silver,158.7,63.6,54.5,2040,,92,9.0,62.0,4800,31,38,6288.0
34,toyota corona hardtop,Sarah Hayden,sarah.hayden@gmail.com,"238 Lisa Summit Apt. 534
Lake Steven, CO 23824",2016-06-02,GB36HFWA8342**********,gas,std,four,wagon,fwd,front,95.7,blue,169.7,63.6,59.1,2280,4.0,92,9.0,62.0,4800,31,37,6906.0
35,subaru dl,John Wright,johnwright@hotmail.com,"43339 Williams Center
Guzmanfurt, WA 68264",2017-07-14,GB06QURJ0020**********,gas,std,two,hatchback,fwd,front,93.7,black,157.9,63.6,53.7,2120,4.0,108,8.7,73.0,4400,26,31,7053.0
36,mitsubishi montero,Mark Mack,mark.mack@yahoo.com,"USCGC George
FPO AA 59295",2015-01-31,GB06JHZK2510**********,gas,std,four,sedan,fwd,front,96.3,yellow,172.4,65.4,51.6,2365,4.0,122,8.5,88.0,5000,25,32,6989.0
37,toyota corona hardtop,Shelly Brooks,shellybrooks@hotmail.com,"590 David Plains Apt. 940
Conleyton, MD 37528",2020-08-18,GB49JPXN1147**********,gas,std,four,wagon,fwd,front,95.7,silver,169.7,63.6,59.1,2280,4.0,92,9.0,62.0,4800,31,37,6918.0
38,saab 99le,Seth Willis,sethwillis@gmail.com,"051 Christina Plaza Apt. 402
Debraport, IA 64855",2020-07-09,GB98YZIU1889**********,gas,std,four,sedan,fwd,front,99.1,yellow,186.6,66.5,56.1,2695,4.0,121,9.3,110.0,5250,21,28,12170.0
39,honda accord lx,Mikayla Cain,mikaylacain@gmail.com,"3615 Baker Lock
Davidchester, GU 06995",2015-04-26,GB12REEB6844**********,gas,std,four,sedan,fwd,front,96.5,gray,163.4,64.0,54.5,2010,4.0,92,9.2,76.0,6000,30,34,7295.0
40,,Christine Wolfe,christinewolfe@hotmail.com,"536 Ballard Walk Apt. 411
Burnsmouth, NH 33589",2022-02-23,GB85UIZW9072**********,,std,four,,fwd,front,102.4,black,,66.5,53.9,2414,4.0,122,8.7,,4200,27,32,10057.0
41,toyota corona liftback,Bonnie Pennington,bonniepennington@gmail.com,"PSC 1705, Box 4253
APO AP 11358",2015-01-30,GB73ZAUP4426**********,gas,std,two,hardtop,rwd,front,98.4,maroon,176.2,65.6,52.0,2540,4.0,146,9.3,116.0,4800,24,30,8449.0
42,mitsubishi mirage g4,Teresa Fleming,teresafleming@gmail.com,"52090 Williams Station
West Lawrence, FM 41499",2022-08-26,GB03KGFO7201**********,gas,std,four,sedan,fwd,front,96.3,blue,172.4,65.4,51.6,2403,4.0,110,7.5,116.0,5500,23,30,9204.0
43,toyota corolla,Jerry Gallegos,jerrygallegos@gmail.com,"1464 Franklin Road
Raymouth, RI 00656",2018-11-14,GB04XWNN1482**********,gas,std,four,hatchback,fwd,front,95.7,yellow,,64.4,52.8,2122,4.0,98,9.0,70.0,4800,28,34,8225.0
44,plymouth satellite custom (sw),Jaclyn Evans,jaclynevans@hotmail.com,"08046 Mary Courts
Roymouth, MD 55440",2019-04-10,GB68FBUJ9132**********,gas,std,four,sedan,fwd,front,93.7,teal,167.3,63.8,50.8,1989,4.0,90,9.4,68.0,5500,31,38,6692.0
45,buick century,Jaime Ramos,jaime.ramos@gmail.com,"462 Rachel Unions Suite 044
Lake Christopher, NE 77340",2021-05-03,GB26IVXQ1084**********,diesel,turbo,two,hardtop,rwd,front,106.7,white,187.5,70.3,54.9,3495,,183,21.5,123.0,4350,22,25,28615.0
46,chevrolet monte carlo,Christian Copeland,christian.copeland@gmail.com,"17275 Black Village
West Lindsayborough, AK 76917",2016-06-17,GB32WZUT7441**********,gas,std,two,hatchback,fwd,front,94.5,purple,155.9,63.6,52.0,1874,4.0,90,9.6,70.0,5400,38,43,6295.0
47,,Carla Torres,carla.torres@gmail.com,"0577 Scott Union
Lake Andrewside, OK 00781",2017-11-07,GB14SOKN8944**********,,std,four,,fwd,,103.3,white,174.6,64.6,59.8,2535,4.0,122,8.5,,5000,24,30,8949.0
48,toyota corolla 1200,Mark Brown,markbrown@hotmail.com,"578 Compton Junction
Port Angelachester, UT 68507",2022-07-11,GB61OIRF3768**********,gas,std,four,hatchback,fwd,front,95.7,silver,158.7,63.6,54.5,2015,4.0,92,9.0,62.0,4800,31,38,6488.0
49,subaru,Gary Moore,garymoore@hotmail.com,"977 Parks Unions Suite 715
Cunninghamburgh, DE 04936",2021-10-20,GB03SFZQ5934**********,gas,std,two,hatchback,fwd,front,93.7,black,156.9,63.4,53.7,2050,4.0,97,9.0,69.0,4900,31,36,5118.0
50,subaru dl,Robert Stevenson,robert.stevenson@gmail.com,"700 Harry Crossroad Apt. 092
Jillianland, FM 00655",2020-09-04,GB07LNYZ2199**********,gas,std,four,wagon,4wd,front,96.9,black,173.6,65.4,54.9,2420,4.0,108,9.0,82.0,4800,23,29,8013.0
51,mitsubishi lancer,Edward Barrera,edwardbarrera@hotmail.com,"1924 John Stravenue Apt. 135
Weaverfort, FL 50340",2017-03-28,GB74WJEQ6420**********,gas,std,two,hatchback,fwd,front,93.7,gray,157.3,64.4,50.8,1944,4.0,92,9.4,68.0,5500,31,38,6189.0
52,chevrolet vega 2300,Jason Thompson,jason.thompson@yahoo.com,"3499 Harris Bridge Apt. 382
Claytonshire, GA 14507",2016-01-23,GB49MPCK0133**********,gas,std,four,sedan,fwd,front,94.5,lime,158.8,63.6,52.0,1909,4.0,90,9.6,70.0,5400,38,43,6575.0
53,buick skyhawk,Bradley Diaz,bradleydiaz@yahoo.com,"1791 Weaver Plaza
Michaelbury, VI 73323",2019-08-31,GB03WCPI0323**********,diesel,turbo,four,sedan,rwd,front,115.6,navy,202.6,71.7,56.3,3770,5.0,183,21.5,123.0,4350,22,25,31600.0
54,nissan clipper,Randy Matthews,randy.matthews@hotmail.com,"34154 Michael Streets
Martinezburgh, OR 89722",2022-05-15,GB02ZRWC0851**********,gas,std,two,hardtop,fwd,front,95.1,blue,162.4,63.8,53.3,2008,4.0,97,9.4,69.0,5200,31,37,8249.0
55,jaguar xf,Jennifer Webster,jenniferwebster@yahoo.com,"75581 James Cliff
Ryanmouth, WI 40564",2020-11-10,GB75XVEH8641**********,gas,std,four,sedan,rwd,front,113.0,yellow,199.6,69.6,52.8,4066,6.0,258,8.1,176.0,4750,15,19,35550.0
56,toyota corolla 1200,Tonya Thomas,tonya.thomas@gmail.com,"92165 Jimenez Meadows
Codyfort, HI 59740",2017-03-14,GB47MFIO7586**********,gas,std,four,hatchback,fwd,front,95.7,yellow,166.3,64.4,52.8,2109,4.0,98,9.0,70.0,4800,30,37,7198.0
57,saab 99e,Sean Miller,seanmiller@yahoo.com,"018 Weaver Turnpike
New Angelatown, NM 49527",2017-08-26,GB38TXVX6006**********,gas,std,two,hatchback,fwd,front,99.1,olive,186.6,66.5,56.1,2658,4.0,121,9.31,110.0,5250,21,28,12148.0
58,toyota starlet,Andrea Romero,andrearomero@hotmail.com,"25710 Hughes Rapids Apt. 328
Coxburgh, DC 72547",2019-10-26,GB15FHYC2928**********,gas,std,four,sedan,rwd,,104.5,teal,187.8,66.5,54.1,3131,,171,9.2,156.0,5200,20,24,15805.0
59,subaru r1,Amy Wright,amywright@gmail.com,"PSC 7034, Box 4934
APO AA 66305",2022-10-30,GB88IEAV1799**********,gas,std,four,sedan,4wd,front,97.0,teal,172.0,65.4,54.3,2385,4.0,108,9.0,82.0,4800,24,25,9233.0
60,bmw x3,Calvin Meyer,calvinmeyer@gmail.com,"4415 Duncan Divide
Bruceville, NM 79945",2021-08-11,GB36KUDO5820**********,gas,std,four,sedan,rwd,front,101.2,fuchsia,176.8,64.8,54.3,2765,6.0,164,9.0,121.0,4250,21,28,21331.0
61,honda accord cvcc,Gary Dorsey,garydorsey@yahoo.com,"286 Anthony Mountain
South Thomas, VA 56887",2016-05-29,GB55YUXN3992**********,gas,std,two,hatchback,fwd,front,93.7,white,150.0,64.0,52.6,1940,4.0,92,9.2,76.0,6000,30,34,6529.0
62,,Theresa Harvey,theresaharvey@hotmail.com,"48653 Wanda Path Apt. 794
Ramirezbury, MP 36241",2022-09-06,GB94PTWO0849**********,,std,two,,rwd,front,95.3,maroon,,65.7,49.6,2380,,70,9.4,,6000,17,23,11018.0
63,,Carla Ramirez,carlaramirez@gmail.com,"05482 Rivera Throughway
Woodsberg, WA 14949",2022-10-31,GB15SOSF2339**********,,std,four,,fwd,front,97.0,white,,65.4,53.0,2455,,108,9.0,,5200,25,31,10080.0
64,saab 99e,Melissa Haas,melissa.haas@hotmail.com,"131 Mark Estate Apt. 452
West Tyler, VI 14377",2015-05-01,GB72LNQI7447**********,gas,std,two,hatchback,fwd,front,99.1,fuchsia,186.6,66.5,56.1,2658,4.0,121,9.31,110.0,5250,21,28,11850.0
65,vw dasher,Michael Mueller,michael.mueller@gmail.com,"4374 Sanders Manor
Simsland, FL 96948",2019-11-25,GB32TDHU0216**********,gas,std,two,convertible,fwd,,94.5,yellow,159.3,64.2,55.6,2254,4.0,109,8.5,90.0,5500,24,29,11353.0
66,toyota celica gt,Robert Hoffman,robert.hoffman@yahoo.com,"7076 Welch Mount Apt. 275
Moorechester, VA 54994",2021-02-21,GB11DKRU0259**********,diesel,turbo,four,sedan,fwd,front,102.4,fuchsia,175.6,66.5,54.9,2480,4.0,110,22.5,73.0,4500,30,33,10698.0
67,audi 100ls,Amanda Frost,amandafrost@gmail.com,"41500 Tonya Port
East Jennifer, AL 37176",2020-03-28,GB37NPQE5828**********,gas,std,four,sedan,4wd,front,99.4,fuchsia,176.6,66.4,54.3,2824,5.0,136,8.0,115.0,5500,18,22,17450.0
68,volvo 144ea,Kimberly Gross,kimberly.gross@gmail.com,"6535 Kristie Glens Apt. 971
Andersontown, MS 52970",2015-02-07,GB65HYFX1443**********,gas,turbo,four,sedan,rwd,front,109.1,yellow,188.8,68.8,55.5,3049,4.0,141,8.7,160.0,5300,19,25,19045.0
69,isuzu D-Max ,Tiffany Moore,tiffany.moore@gmail.com,"6539 Romero Lakes
Lake Amanda, KY 45561",2019-02-05,GB78TYMC8084**********,gas,std,two,hatchback,rwd,front,96.0,lime,172.6,65.2,51.4,2734,4.0,119,9.2,90.0,5000,24,29,11048.0
70,toyota mark ii,Christopher Carroll,christophercarroll@hotmail.com,"3675 Autumn Grove Apt. 966
Stevenville, GA 48751",2019-04-27,GB37IOWK5201**********,gas,std,four,sedan,fwd,front,95.7,maroon,166.3,64.4,52.8,2140,4.0,98,9.0,70.0,4800,28,34,9258.0
71,porsche boxter,Victor Foster,victorfoster@hotmail.com,"80181 Oconnor Ville Apt. 272
Franciscomouth, DE 31251",2016-08-18,GB59HNXS4709**********,gas,std,two,convertible,rwd,rear,89.5,blue,168.9,65.0,51.6,2800,6.0,194,9.5,207.0,5900,17,25,37028.0
72,alfa-romero stelvio,Jenna Perez,jennaperez@yahoo.com,"465 Pena Well
Port Robert, KY 54700",2017-01-18,GB98WNSD8879**********,gas,std,two,convertible,rwd,front,88.6,olive,168.8,64.1,48.8,2548,4.0,130,9.0,111.0,5000,21,27,16500.0
73,nissan latio,Teresa Patel,teresapatel@gmail.com,"072 Rodriguez Glens Apt. 768
Manningberg, ND 92150",2019-08-26,GB82FHDA8811**********,gas,std,four,sedan,fwd,front,94.5,white,165.3,63.8,54.5,1971,4.0,97,9.4,69.0,5200,31,37,7499.0
74,mazda glc custom l,Toni Gilmore,tonigilmore@yahoo.com,"408 Donna Square
Jasonhaven, SD 51629",2017-01-13,GB34BNDW5550**********,gas,std,four,sedan,fwd,front,98.8,olive,177.8,66.5,55.5,2410,4.0,122,8.6,84.0,4800,26,32,8495.0
75,volvo 145e (sw),Denise Rasmussen,denise.rasmussen@gmail.com,"8592 Hannah Lights Suite 587
Cookmouth, AL 23711",2019-09-05,GB59YCCN6660**********,gas,std,four,sedan,rwd,front,109.1,black,188.8,68.9,55.5,2952,4.0,141,9.5,114.0,5400,23,28,16845.0
76,volvo 244dl,Kayla Chavez,kaylachavez@yahoo.com,"428 Courtney Spring Apt. 896
Alexandraport, OK 02288",2022-04-29,GB27SOBI9913**********,gas,std,four,sedan,rwd,front,109.1,teal,188.8,68.9,55.5,3012,6.0,173,8.8,134.0,5500,18,23,21485.0
77,volvo 144ea,Amber Foster,amberfoster@hotmail.com,"04805 Courtney Meadows
Parrishview, UT 43264",2016-07-12,GB65GDGC8690**********,gas,std,four,wagon,rwd,front,104.3,purple,188.8,67.2,57.5,3034,4.0,141,9.5,114.0,5400,23,28,13415.0
78,alfa-romero giulia,Victor Walters,victor.walters@yahoo.com,"2339 Smith Extension
Michaelmouth, WI 33719",2021-01-05,GB45MVEY4545**********,gas,std,two,convertible,rwd,front,88.6,silver,168.8,64.1,48.8,2548,4.0,130,9.0,111.0,5000,21,27,13495.0
79,peugeot 504,Joyce Hardy,joycehardy@yahoo.com,"4420 Paula Forest
Elizabethville, CT 58257",2017-03-03,GB47DWTS2204**********,gas,std,four,wagon,rwd,front,114.2,yellow,198.9,68.4,56.7,3285,4.0,120,8.4,95.0,5000,19,24,16695.0
80,toyota mark ii,Ann Burton,ann.burton@hotmail.com,"31176 Kathryn Port Apt. 972
Hubbardborough, SD 58523",2016-04-04,GB07ILAB7253**********,gas,std,four,hatchback,fwd,front,102.4,lime,175.6,66.5,53.9,2458,4.0,122,8.7,92.0,4200,27,32,11248.0
81,toyota corolla,Dana Russell,dana.russell@gmail.com,"040 Anna Alley
Eddiemouth, NC 53632",2019-09-26,GB93PUGD0538**********,gas,std,four,hatchback,fwd,front,95.7,teal,166.3,64.4,52.8,2122,4.0,98,9.0,70.0,4800,28,34,8358.0
82,mitsubishi g4,Michael Levy,michaellevy@gmail.com,"PSC 5849, Box 4787
APO AE 48348",2020-03-15,GB87ZIHB8628**********,gas,turbo,two,hatchback,fwd,front,93.0,blue,157.3,63.8,50.8,2145,4.0,98,7.6,102.0,5500,24,30,7689.0
83,dodge colt (sw),Gabrielle Jenkins,gabrielle.jenkins@yahoo.com,"PSC 2735, Box 8508
APO AA 02748",2016-08-30,GB15TGQX1097**********,gas,std,four,sedan,fwd,front,93.7,navy,157.3,63.8,50.6,1989,4.0,90,9.4,68.0,5500,31,38,7609.0
84,nissan fuga,Stephen Galvan,stephen.galvan@yahoo.com,"3970 Allison Streets
Ballardton, VI 23168",2017-11-13,GB59MPTW3409**********,gas,std,four,wagon,fwd,front,100.4,gray,184.6,66.5,56.1,3296,6.0,181,9.0,152.0,5200,17,22,14399.0
85,audi fox,Christopher Johnson,christopherjohnson@yahoo.com,"174 Lin Isle
Torresberg, CA 18470",2018-05-06,GB83PWXP0855**********,gas,std,two,sedan,fwd,front,99.8,white,177.3,66.3,53.1,2507,5.0,136,8.5,110.0,5500,19,25,15250.0
86,plymouth cricket,Patrick Franco,patrick.franco@gmail.com,"947 Kaitlyn Underpass Suite 083
West Mary, LA 76368",2017-04-20,GB43FXUX3886**********,gas,turbo,two,hatchback,fwd,front,93.7,maroon,157.3,63.8,50.8,2128,4.0,98,7.6,102.0,5500,24,30,7957.0
87,honda civic 1300,Kayla Cox,kaylacox@hotmail.com,"367 Julie Hollow Suite 741
West Courtney, IN 14272",2018-07-15,GB04PAQM8904**********,gas,std,two,hatchback,fwd,front,96.5,black,167.5,65.2,53.3,2289,4.0,110,9.0,86.0,5800,27,33,9095.0
88,volkswagen model 111,Tony Herrera,tonyherrera@hotmail.com,"6841 Barbara Curve
Michelechester, NM 91560",2015-04-17,GB17SDGR5551**********,diesel,std,four,sedan,fwd,front,97.3,teal,171.7,65.5,55.7,2264,4.0,97,23.0,52.0,4800,37,46,7995.0
89,subaru trezia,Heather Cowan,heathercowan@gmail.com,"44659 Bender Radial
West Kenneth, VA 26529",2018-05-22,GB70RLRK8973**********,gas,std,four,wagon,fwd,front,97.0,navy,173.5,65.4,53.0,2290,4.0,108,9.0,82.0,4800,28,32,7433.0
90,volkswagen 1131 deluxe sedan,Paul Williams,paulwilliams@yahoo.com,"2667 Smith Glen
Ryanview, MI 36884",2015-03-07,GB56ARDZ5421**********,gas,std,two,sedan,fwd,front,97.3,yellow,171.7,65.5,55.7,2209,4.0,109,9.0,85.0,5250,27,34,7975.0
91,volvo 244dl,Troy Jones,troy.jones@gmail.com,"0094 Diaz Lakes Suite 414
Jerrytown, ME 68455",2021-08-03,GB87NBGM0035**********,gas,std,four,sedan,rwd,front,104.3,olive,188.8,67.2,56.2,2935,4.0,141,9.5,114.0,5400,24,28,15985.0
92,nissan rogue,Tony Williams,tonywilliams@yahoo.com,"62578 Aaron Corners Suite 910
Floresfurt, AL 86476",2021-08-04,GB48GDOI5440**********,gas,std,four,hatchback,fwd,front,97.2,gray,173.4,65.2,54.7,2324,4.0,120,8.5,97.0,5200,27,34,8949.0
93,volvo 246,Sarah Campos,sarah.campos@yahoo.com,"9862 Duran Streets Apt. 458
Lake Patrick, WY 34853",2015-06-29,GB48KAWS3351**********,diesel,turbo,four,sedan,rwd,front,109.1,blue,188.8,68.9,55.5,3217,6.0,145,23.0,106.0,4800,26,27,22470.0
94,volkswagen dasher,Joseph Washington,josephwashington@yahoo.com,"1882 Tina Light
North Jenny, IA 60547",2016-12-19,GB59LAXH4103**********,gas,std,four,sedan,fwd,front,97.3,aqua,171.7,65.5,55.7,2300,4.0,109,10.0,100.0,5500,26,32,9995.0
95,toyota cressida,Ryan Adkins,ryanadkins@yahoo.com,"Unit 1714 Box 1389
DPO AP 33533",2015-10-17,GB09JGTL1591**********,gas,std,two,convertible,rwd,front,98.4,gray,176.2,65.6,53.0,2975,4.0,146,9.3,116.0,4800,24,30,17578.0
96,volkswagen 411 (sw),Joseph Leblanc,josephleblanc@hotmail.com,"5530 Benson Rest
Lake Amandatown, MS 49287",2016-06-05,GB91GIEB9627**********,gas,std,four,sedan,fwd,front,97.3,blue,171.7,65.5,55.7,2275,4.0,109,9.0,85.0,5250,27,34,8495.0
